uso_generico,uso_especifico
INDUSTRIA Y COMERCIO,GASOLINERIA
INDUSTRIA Y COMERCIO,INDUSTRIA DE LA MADERA Y PRODUCTOS DE MADERA
INDUSTRIA Y COMERCIO,INDUSTRIA DEL PAPEL Y PRODUCTOS DE PAPEL- IMPRENTAS Y EDITORIALES
INDUSTRIA Y COMERCIO,INDUSTRIAS METALICAS BASICAS (HIERRO, ACERO, ETC.)
INDUSTRIA Y COMERCIO,LECHERIA
INDUSTRIA Y COMERCIO,LOCAL DE DISTRIBUCION Y COMERCIALIZACION
INDUSTRIA Y COMERCIO,MERCADO PUBLICO
INDUSTRIA Y COMERCIO,PANIFICADORA
INDUSTRIA Y COMERCIO,PEQUEÑO COMERCIO 
INDUSTRIA Y COMERCIO,PLANTA DE ASFALTO
INDUSTRIA Y COMERCIO,RESTAURANTE Y FUENTE DE SODAS
INDUSTRIA Y COMERCIO,SALA DE BELLEZA Y PELUQUERIA
INDUSTRIA Y COMERCIO,SUPERMERCADO 
INDUSTRIA Y COMERCIO,TIENDA COMERCIAL
INDUSTRIA Y COMERCIO,TIENDA DE ABARROTES Y COMESTIBLES
INDUSTRIA Y COMERCIO,TIENDA DE ESPECIALIDADES
INDUSTRIA Y COMERCIO,TIENDA DE PRODUCTOS BASICOS
INDUSTRIA Y COMERCIO,TIENDA DE REFACCIONES
INDUSTRIA Y COMERCIO,TORTILLERIA
INDUSTRIA Y COMERCIO,ZONAS ECONOMICAS ESPECIALES


EDUCACIÓN Y CULTURA,AUDITORIO
EDUCACIÓN Y CULTURA,BACHILLERATO GENERAL
EDUCACIÓN Y CULTURA,BACHILLERATO TÉCNICO
EDUCACIÓN Y CULTURA,BIBLIOTECA
EDUCACIÓN Y CULTURA,CASA DE CULTURA
EDUCACIÓN Y CULTURA,CENTRO CULTURAL
EDUCACIÓN Y CULTURA,CENTRO DE CAPACITACION
EDUCACIÓN Y CULTURA,CENTRO DE INVESTIGACION
EDUCACIÓN Y CULTURA,CENTRO DE OBSERVACION (METEOROLOGICA, ASTRONOMICA, COSMOGRAFICA, ETC.)
EDUCACIÓN Y CULTURA,CENTRO DE ORIENTACION VOCACIONAL
EDUCACIÓN Y CULTURA,CENTRO PARA ESTUDIOS DE POSTGRADO
EDUCACIÓN Y CULTURA,CINETECA
EDUCACIÓN Y CULTURA,EDUCACIÓN BASICA PARA ADULTOS
EDUCACIÓN Y CULTURA,ESCUELA DE CAPACITACION PARA EL TRABAJO
EDUCACIÓN Y CULTURA,ESCUELA DE EDUCACION ESPECIAL
EDUCACIÓN Y CULTURA,ESCUELA DE ENSEÑANZA COMERCIAL E IDIOMAS
EDUCACIÓN Y CULTURA,ESCUELA DE POLICIA
EDUCACIÓN Y CULTURA,ESCUELA MILITARIZADA
EDUCACIÓN Y CULTURA,ESCUELA PARA INVIDENTES
EDUCACIÓN Y CULTURA,ESCUELA TECNICA (AGROPECUARIA, COMERCIAL, INDUSTRIAL, PESQUERA, ETC.)
EDUCACIÓN Y CULTURA,ESTUDIOS CINEMATOGRAFICOS
EDUCACIÓN Y CULTURA,EXPOSICIONES TEMPORALES
EDUCACIÓN Y CULTURA,FONOTECA
EDUCACIÓN Y CULTURA,GALERIA DE ARTE
EDUCACIÓN Y CULTURA,HEMEROTECA
EDUCACIÓN Y CULTURA,INSTITUCIONES QUE COMBINAN DIFERENTES NIVELES DE ENSEÑANZA
EDUCACIÓN Y CULTURA,INSTITUTO DE INVESTIGACION Y EXPERIMENTACION (FISICA, QUIMICA, BIOLOGICA, ETC.)
EDUCACIÓN Y CULTURA,INTERNADO
EDUCACIÓN Y CULTURA,JARDIN DE NIÑOS
EDUCACIÓN Y CULTURA,LABORATORIO CON FINES EDUCATIVOS
EDUCACIÓN Y CULTURA,LUDOTECA
EDUCACIÓN Y CULTURA,MONUMENTO
EDUCACIÓN Y CULTURA,MUSEO
EDUCACIÓN Y CULTURA,NORMAL
EDUCACIÓN Y CULTURA,NORMAL SUPERIOR
EDUCACIÓN Y CULTURA,PINACOTECA
EDUCACIÓN Y CULTURA,PLANOTECA
EDUCACIÓN Y CULTURA,PLAZA CIVICA O EXPLANADA
EDUCACIÓN Y CULTURA,PLAZA PUBLICA O AGORA
EDUCACIÓN Y CULTURA,PREPARATORIA
EDUCACIÓN Y CULTURA,PRIMARIA
EDUCACIÓN Y CULTURA,SALA CINEMATOGRAFICA
EDUCACIÓN Y CULTURA,SALA DE LECTURA
EDUCACIÓN Y CULTURA,SECUNDARIA GENERAL
EDUCACIÓN Y CULTURA,SECUNDARIA TECNICA (AGROPECUARIA, COMERCIAL, INDUSTRIAL, PESQUERA, ETC.)
EDUCACIÓN Y CULTURA,SITIO HISTORICO
EDUCACIÓN Y CULTURA,TALLER DE ADIESTRAMIENTO
EDUCACIÓN Y CULTURA,TALLERES CULTURALES
EDUCACIÓN Y CULTURA,TALLERES TÉCNICOS
EDUCACIÓN Y CULTURA,TEATRO
EDUCACIÓN Y CULTURA,TEATRO AL AIRE LIBRE
EDUCACIÓN Y CULTURA,TELESECUNDARIA
EDUCACIÓN Y CULTURA,UNIVERSIDAD
EDUCACIÓN Y CULTURA,ZONAS ARQUEOLOGICAS


ALMACENES - ARCHIVOS Y BODEGAS,ALMACEN
ALMACENES - ARCHIVOS Y BODEGAS,ALMACEN DE GRANOS
ALMACENES - ARCHIVOS Y BODEGAS,ALMACEN HERBARIO
ALMACENES - ARCHIVOS Y BODEGAS,ALMACENAMIENTO DE EQUIPO ELECTRICO
ALMACENES - ARCHIVOS Y BODEGAS,ALMACENAMIENTO DE MAQUINARIA Y EQUIPO
ALMACENES - ARCHIVOS Y BODEGAS,ARCHIVO
ALMACENES - ARCHIVOS Y BODEGAS,ARCHIVO HISTÓRICO
ALMACENES - ARCHIVOS Y BODEGAS,BODEGA
ALMACENES - ARCHIVOS Y BODEGAS,BODEGA DE ABARROTES
ALMACENES - ARCHIVOS Y BODEGAS,BODEGA DE ACOPIO
ALMACENES - ARCHIVOS Y BODEGAS,BODEGA DE PRODUCTOS PERECEDEROS
ALMACENES - ARCHIVOS Y BODEGAS,BODEGA DE SEMILLAS
ALMACENES - ARCHIVOS Y BODEGAS,BODEGA DE TRANSFERENCIAS
ALMACENES - ARCHIVOS Y BODEGAS,BODEGA PARA ALMACENAMIENTO DE CARTAS Y PAQUETES
ALMACENES - ARCHIVOS Y BODEGAS,CORRALON DE VEHICULOS
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE AGUA
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE COMBUSTIBLE
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE DESECHOS SOLIDOS
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE EXPLOSIVOS
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE GAS LIQUIDO
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE MADERA
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE MAQUINARIAS
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE MATERIAL ASFALTICO
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE MATERIAL PETREO
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO DE OBRADORES
ALMACENES - ARCHIVOS Y BODEGAS,DEPOSITO Y ALMACEN (MILITAR , NAVAL O AEREO)
ALMACENES - ARCHIVOS Y BODEGAS,PARQUE DE MAQUINARIA
ALMACENES - ARCHIVOS Y BODEGAS,PARQUE DE MATERIALES
ALMACENES - ARCHIVOS Y BODEGAS,TANQUE PILAS Y FILTRO
ALMACENES - ARCHIVOS Y BODEGAS,TOLVAS


SIN USO,EDIFICIO O CONSTRUCCION SIN USO
SIN USO,INMUEBLE EN RUINAS
SIN USO,INMUEBLE INVADIDO
SIN USO,OBRA EN PROCESO
SIN USO,TERRENO BALDIO SIN USO
SIN USO,TRANSFERIDO AL SAE
